ProductKey(Integer),ProductName(String),Category(String),Price(Double)
1,Widget A,Gadgets,20.0
2,Widget B,Gadgets,25.5
3,Gagdet C,Accessories,25.5
4,Product 4,Category 4,2.338309373525931
5,Product 5,Category 5,34.0521822570556
6,Product 6,Category 6,23.990301434922443
7,Product 7,Category 7,38.29646192853727
8,Product 8,Category 8,1.7485463250449687
9,Product 9,Category 9,17.442139577846447
10,Product 10,Category 10,28.71616653233131
11,Product 11,Category 11,41.11017450906014
12,Product 12,Category 12,44.75089143198624
13,Product 13,Category 13,7.591179873869124
14,Product 14,Category 14,45.00805838103855
15,Product 15,Category 15,23.76032437691483
16,Product 16,Category 16,46.38988873114683
17,Product 17,Category 17,34.85956065465995
18,Product 18,Category 18,17.639853127319903
19,Product 19,Category 19,23.162423212900283
20,Product 20,Category 20,23.666760041750916
21,Product 21,Category 21,8.518437449855842
22,Product 22,Category 22,46.2312155883892
23,Product 23,Category 23,9.306927603294412
24,Product 24,Category 24,37.83249696626583
25,Product 25,Category 25,12.196794995190196
26,Product 26,Category 26,10.732967432636535
27,Product 27,Category 27,38.124276038453324
28,Product 28,Category 28,39.067462012629356
29,Product 29,Category 29,9.410312741697012
30,Product 30,Category 30,15.205488543182026
31,Product 31,Category 31,5.320038655612684
32,Product 32,Category 32,46.54465354730295
33,Product 33,Category 33,46.52717246389601
34,Product 34,Category 34,1.0757861155699424
35,Product 35,Category 35,10.825278973250306
36,Product 36,Category 36,18.016331345915987
37,Product 37,Category 37,35.496563970664965
38,Product 38,Category 38,27.98264930842208
39,Product 39,Category 39,45.5091590266079
40,Product 40,Category 40,48.26878675804465
41,Product 41,Category 41,20.198836456177816
42,Product 42,Category 42,6.305653235154939
43,Product 43,Category 43,15.365257739352366
44,Product 44,Category 44,35.05763594691445
45,Product 45,Category 45,28.371947903154325
46,Product 46,Category 46,40.522625895857146
47,Product 47,Category 47,23.510071444122815
48,Product 48,Category 48,14.466073835218017
49,Product 49,Category 49,35.72705932487353
50,Product 50,Category 50,6.6514648348502785
51,Product 51,Category 51,37.02155904691017
52,Product 52,Category 52,45.02110541909672
53,Product 53,Category 53,20.086843248965373
54,Product 54,Category 54,40.206082076530045
55,Product 55,Category 55,23.897607424386575
56,Product 56,Category 56,11.3578632981227
57,Product 57,Category 57,11.163250708993404
58,Product 58,Category 58,3.3325375069807475
59,Product 59,Category 59,5.228685340746208
60,Product 60,Category 60,23.739683141527816
61,Product 61,Category 61,45.93721689775039
62,Product 62,Category 62,31.090270400451015
63,Product 63,Category 63,29.055970105323198
64,Product 64,Category 64,9.32170048448695
65,Product 65,Category 65,20.510958124314403
66,Product 66,Category 66,27.204665340989024
67,Product 67,Category 67,35.32562374999833
68,Product 68,Category 68,24.688290138097074
69,Product 69,Category 69,36.7742395244272
70,Product 70,Category 70,39.04100130105811
71,Product 71,Category 71,45.85190310477348
72,Product 72,Category 72,16.89978151965274
73,Product 73,Category 73,26.25917947828664
74,Product 74,Category 74,40.03618922531691
75,Product 75,Category 75,29.266191743810932
76,Product 76,Category 76,22.05141898074151
77,Product 77,Category 77,44.15387143673216
78,Product 78,Category 78,35.3735065263468
79,Product 79,Category 79,8.556038803090903
80,Product 80,Category 80,16.17765070164674
81,Product 81,Category 81,13.60329692715645
82,Product 82,Category 82,33.29687136656148
83,Product 83,Category 83,47.98770653610566
84,Product 84,Category 84,23.22738435075039
85,Product 85,Category 85,14.146721097897341
86,Product 86,Category 86,40.13503865474951
87,Product 87,Category 87,26.957716422469286
88,Product 88,Category 88,38.790943804971384
89,Product 89,Category 89,48.423944659706976
90,Product 90,Category 90,41.84241054412573
91,Product 91,Category 91,30.63329217425052
92,Product 92,Category 92,46.27701981560129
93,Product 93,Category 93,38.12850576579195
94,Product 94,Category 94,28.66199872122031
95,Product 95,Category 95,11.11860665522406
96,Product 96,Category 96,34.318002343956564
97,Product 97,Category 97,43.59412710357242
98,Product 98,Category 98,2.377393571712421
99,Product 99,Category 99,48.32313619753638
100,Product 100,Category 100,20.324652288294132
101,Product 101,Category 101,21.371397682532233
102,Product 102,Category 102,27.544420673089636
103,Product 103,Category 103,16.71043060568177
104,Product 104,Category 104,45.31615496551273
105,Product 105,Category 105,30.684889335184945
106,Product 106,Category 106,49.079508425596934
107,Product 107,Category 107,42.67001166292511
108,Product 108,Category 108,29.419158255265586
109,Product 109,Category 109,22.756604999938283
110,Product 110,Category 110,48.63060505367312
