StoreKey(Integer),StoreName(String),Location(String)
1,Store 1,New York
2,Store 2,Chicago
3,Store 3,San Francisco
4,Store 4,Location 4
5,Store 5,Location 5
6,Store 6,Location 6
7,Store 7,Location 7
8,Store 8,Location 8
9,Store 9,Location 9
10,Store 10,Location 10
11,Store 11,Location 11
12,Store 12,Location 12
13,Store 13,Location 13
14,Store 14,Location 14
15,Store 15,Location 15
16,Store 16,Location 16
17,Store 17,Location 17
18,Store 18,Location 18
19,Store 19,Location 19
20,Store 20,Location 20
21,Store 21,Location 21
22,Store 22,Location 22
23,Store 23,Location 23
24,Store 24,Location 24
25,Store 25,Location 25
26,Store 26,Location 26
27,Store 27,Location 27
28,Store 28,Location 28
29,Store 29,Location 29
30,Store 30,Location 30
31,Store 31,Location 31
32,Store 32,Location 32
33,Store 33,Location 33
34,Store 34,Location 34
35,Store 35,Location 35
36,Store 36,Location 36
37,Store 37,Location 37
38,Store 38,Location 38
39,Store 39,Location 39
40,Store 40,Location 40
41,Store 41,Location 41
42,Store 42,Location 42
43,Store 43,Location 43
44,Store 44,Location 44
45,Store 45,Location 45
46,Store 46,Location 46
47,Store 47,Location 47
48,Store 48,Location 48
49,Store 49,Location 49
50,Store 50,Location 50
51,Store 51,Location 51
52,Store 52,Location 52
53,Store 53,Location 53
54,Store 54,Location 54
55,Store 55,Location 55
56,Store 56,Location 56
57,Store 57,Location 57
58,Store 58,Location 58
59,Store 59,Location 59
60,Store 60,Location 60
61,Store 61,Location 61
62,Store 62,Location 62
63,Store 63,Location 63
64,Store 64,Location 64
65,Store 65,Location 65
66,Store 66,Location 66
67,Store 67,Location 67
68,Store 68,Location 68
69,Store 69,Location 69
70,Store 70,Location 70
71,Store 71,Location 71
72,Store 72,Location 72
73,Store 73,Location 73
74,Store 74,Location 74
75,Store 75,Location 75
76,Store 76,Location 76
77,Store 77,Location 77
78,Store 78,Location 78
79,Store 79,Location 79
80,Store 80,Location 80
81,Store 81,Location 81
82,Store 82,Location 82
83,Store 83,Location 83
84,Store 84,Location 84
85,Store 85,Location 85
86,Store 86,Location 86
87,Store 87,Location 87
88,Store 88,Location 88
89,Store 89,Location 89
90,Store 90,Location 90
91,Store 91,Location 91
92,Store 92,Location 92
93,Store 93,Location 93
94,Store 94,Location 94
95,Store 95,Location 95
96,Store 96,Location 96
97,Store 97,Location 97
98,Store 98,Location 98
99,Store 99,Location 99
100,Store 100,Location 100
101,Store 101,Location 101
102,Store 102,Location 102
103,Store 103,Location 103
104,Store 104,Location 104
105,Store 105,Location 105
106,Store 106,Location 106
107,Store 107,Location 107
108,Store 108,Location 108
109,Store 109,Location 109
110,Store 110,Location 110
111,Store 111,Location 111
112,Store 112,Location 112
113,Store 113,Location 113
114,Store 114,Location 114
115,Store 115,Location 115
116,Store 116,Location 116
117,Store 117,Location 117
118,Store 118,Location 118
119,Store 119,Location 119
120,Store 120,Location 120
121,Store 121,Location 121
122,Store 122,Location 122
123,Store 123,Location 123
124,Store 124,Location 124
125,Store 125,Location 125
126,Store 126,Location 126
127,Store 127,Location 127
128,Store 128,Location 128
129,Store 129,Location 129
130,Store 130,Location 130
131,Store 131,Location 131
132,Store 132,Location 132
133,Store 133,Location 133
134,Store 134,Location 134
135,Store 135,Location 135
136,Store 136,Location 136
137,Store 137,Location 137
138,Store 138,Location 138
139,Store 139,Location 139
140,Store 140,Location 140
141,Store 141,Location 141
142,Store 142,Location 142
143,Store 143,Location 143
144,Store 144,Location 144
145,Store 145,Location 145
146,Store 146,Location 146
147,Store 147,Location 147
148,Store 148,Location 148
149,Store 149,Location 149
150,Store 150,Location 150
151,Store 151,Location 151
152,Store 152,Location 152
153,Store 153,Location 153
154,Store 154,Location 154
155,Store 155,Location 155
156,Store 156,Location 156
157,Store 157,Location 157
158,Store 158,Location 158
159,Store 159,Location 159
160,Store 160,Location 160
161,Store 161,Location 161
162,Store 162,Location 162
163,Store 163,Location 163
164,Store 164,Location 164
165,Store 165,Location 165
166,Store 166,Location 166
167,Store 167,Location 167
168,Store 168,Location 168
169,Store 169,Location 169
170,Store 170,Location 170
171,Store 171,Location 171
172,Store 172,Location 172
173,Store 173,Location 173
174,Store 174,Location 174
175,Store 175,Location 175
176,Store 176,Location 176
177,Store 177,Location 177
178,Store 178,Location 178
179,Store 179,Location 179
180,Store 180,Location 180
181,Store 181,Location 181
182,Store 182,Location 182
183,Store 183,Location 183
184,Store 184,Location 184
185,Store 185,Location 185
186,Store 186,Location 186
187,Store 187,Location 187
188,Store 188,Location 188
189,Store 189,Location 189
190,Store 190,Location 190
191,Store 191,Location 191
192,Store 192,Location 192
193,Store 193,Location 193
194,Store 194,Location 194
195,Store 195,Location 195
196,Store 196,Location 196
197,Store 197,Location 197
198,Store 198,Location 198
199,Store 199,Location 199
200,Store 200,Location 200
