SaleID(Integer),DateKey(Integer),ProductKey(Integer),StoreKey(Integer),QuantitySold(Integer),TotalAmount(Double)
1,1,1,1,2,40.0
2,1,2,1,1,25.5
3,2,1,2,3,65.4
4,2,3,3,5,125.75
5,43,855,194,1,16.94
6,71,362,30,12,338.33
7,77,301,95,20,610.37
8,371,855,23,4,81.50
9,250,801,187,11,617.81
10,414,287,4,10,250.91
11,469,969,113,10,538.83
12,280,6,167,3,87.52
13,485,244,90,17,841.38
14,393,755,9,7,310.40
15,223,219,122,15,452.02
16,377,330,12,6,209.70
17,226,802,56,15,754.56
18,81,509,58,4,225.22
19,223,995,70,8,213.90
20,197,606,195,11,636.13
21,52,872,160,7,175.36
22,33,524,37,20,1080.28
23,141,971,137,19,1038.20
24,434,313,85,13,457.47
25,322,516,113,13,702.30
26,352,526,90,11,427.52
27,277,126,35,18,908.01
28,366,178,25,10,424.53
29,248,647,66,3,99.05
30,419,485,115,7,325.12
31,236,594,50,8,410.26
32,294,548,187,10,472.86
33,25,490,100,1,13.68
34,450,449,29,13,587.24
35,305,358,99,1,55.89
36,78,362,32,14,559.80
37,288,595,108,16,875.21
38,103,540,189,15,741.25
39,362,779,10,12,624.61
40,379,955,152,20,510.30
41,328,448,63,9,518.20
42,75,703,179,13,357.06
43,21,404,126,19,371.55
44,70,174,195,4,239.72
45,344,41,148,9,266.89
46,493,761,11,15,797.41
47,192,296,110,16,624.39
48,127,509,61,15,239.52
49,248,993,134,1,52.88
50,429,87,184,20,961.32
51,157,686,159,4,200.75
52,335,492,179,20,384.72
53,123,852,8,2,80.17
54,427,403,96,8,310.96
55,471,223,141,19,1116.84
56,307,657,77,2,115.65
57,392,801,72,13,402.24
58,234,776,116,5,60.76
59,473,583,118,4,155.74
60,272,828,106,10,342.55
61,310,448,53,7,119.61
62,438,499,69,8,286.54
63,294,930,19,20,355.22
64,233,799,88,12,592.14
65,444,915,169,8,328.08
66,107,210,193,16,533.73
67,4,625,14,10,110.18
68,204,694,73,9,298.43
69,318,383,48,18,627.49
70,260,679,28,19,828.74
71,362,549,117,10,529.00
72,397,807,103,17,308.94
73,178,74,32,6,328.02
74,349,701,112,7,174.72
75,472,305,143,5,147.67
76,230,993,26,5,173.57
77,385,629,56,20,434.02
78,354,936,14,1,18.66
79,436,995,147,10,343.64
80,271,895,86,5,240.94
81,480,219,50,14,785.64
82,162,551,66,19,416.39
83,243,58,28,10,144.54
84,412,309,166,10,518.16
85,488,991,50,20,577.74
86,325,500,28,10,362.00
87,341,376,48,15,296.02
88,382,184,20,15,411.89
89,335,440,140,4,62.52
90,132,769,43,2,103.11
91,471,207,101,7,367.17
92,7,481,39,14,569.64
93,5,263,106,2,22.47
94,224,779,128,16,835.40
95,332,623,99,1,41.47
96,106,529,148,18,801.31
97,420,310,28,11,618.78
98,452,601,82,1,33.17
99,209,493,166,17,605.08
100,500,445,62,9,262.12
101,213,161,151,5,177.60
102,288,948,148,19,976.95
103,73,956,185,2,43.96
104,58,618,62,3,67.67
105,334,479,8,3,108.34
106,347,112,97,3,147.84
107,242,974,36,2,58.99
108,85,440,85,11,216.63
109,190,80,38,4,181.75
110,434,368,105,2,61.23
111,303,66,23,3,69.47
112,185,457,53,11,481.18
113,457,911,52,3,94.09
114,31,36,34,12,526.58
115,377,982,174,10,340.57
116,115,386,101,8,210.37
117,110,736,5,19,463.30
118,196,598,25,2,57.50
119,214,805,188,2,99.38
120,436,519,146,12,338.85
121,403,394,135,15,258.09
122,182,646,63,14,215.50
123,313,441,64,20,246.63
124,413,930,15,6,89.84
125,317,909,153,17,1015.02
126,251,892,157,6,167.10
127,56,144,124,8,304.02
128,129,323,199,1,45.13
129,98,459,126,2,113.85
130,464,981,192,2,69.24
131,266,362,153,13,332.93
132,202,343,30,14,452.99
133,281,697,120,10,246.61
134,97,299,142,9,100.86
135,63,791,53,19,477.95
136,157,437,52,9,404.19
137,206,126,102,15,321.60
138,397,369,87,10,305.08
139,384,572,197,11,278.72
140,70,42,98,6,106.07
141,321,393,143,2,113.56
142,311,186,142,14,391.69
143,209,981,4,8,436.24
144,241,611,52,15,233.82
145,375,534,61,11,267.46
146,404,456,103,20,978.23
147,277,803,163,7,104.45
148,128,914,30,3,170.16
149,89,424,91,12,286.61
150,239,129,151,10,256.27
151,266,247,39,10,376.62
152,152,374,96,11,299.20
153,468,590,120,5,98.34
154,260,274,16,4,208.90
155,378,243,160,11,627.30
156,112,350,98,16,777.67
157,306,737,91,8,251.18
158,478,775,18,7,169.89
159,364,334,68,4,216.10
160,454,581,41,1,41.76
161,28,747,141,20,459.56
162,249,551,91,13,521.15
163,326,615,120,15,216.73
164,206,990,97,11,207.28
165,259,113,131,8,297.97
166,126,772,105,9,174.95
167,45,647,112,10,331.30
168,145,351,33,19,538.34
169,232,576,2,4,108.89
170,151,855,187,4,135.85
171,105,138,59,19,477.55
172,340,657,99,6,147.06
173,269,241,57,5,264.92
174,148,86,156,4,49.22
175,374,222,97,11,283.24
176,175,180,130,7,248.14
177,490,895,123,19,937.01
178,397,496,193,6,185.14
179,120,241,173,18,440.28
180,448,374,98,19,1139.23
181,261,143,187,6,134.46
182,326,518,143,11,317.26
183,265,669,179,16,538.15
184,69,620,20,6,212.10
185,475,766,95,15,814.77
186,26,403,182,5,219.85
187,422,510,107,7,282.30
188,150,542,192,17,577.92
189,132,973,158,14,438.85
190,281,132,129,18,936.25
191,419,377,181,6,177.15
192,69,166,98,1,17.39
193,472,694,107,14,242.94
194,159,95,60,6,63.16
195,457,861,12,19,934.62
196,157,208,95,9,466.72
197,294,318,24,9,133.42
198,263,62,37,20,1068.98
199,229,292,28,19,224.54
200,168,713,157,7,140.91
201,111,12,172,19,868.69
202,401,299,124,16,953.00
203,260,641,44,8,348.49
204,161,338,183,10,479.62
205,345,824,150,11,443.99
206,25,252,116,9,213.01
207,210,939,38,12,608.56
208,296,325,175,19,1031.48
209,114,483,88,3,138.46
210,418,647,136,11,494.62
211,491,135,34,18,434.32
212,369,686,106,19,527.37
213,434,100,181,6,351.34
214,373,381,135,4,49.48
215,419,392,191,15,677.66
216,205,202,56,9,281.22
217,486,87,148,1,34.67
218,456,754,169,13,149.73
219,378,289,91,1,42.04
220,58,250,42,4,158.52
221,288,886,84,8,197.59
222,180,210,81,1,52.80
223,165,800,174,2,45.13
224,35,375,131,9,217.81
225,145,571,182,15,735.01
226,404,468,81,15,363.36
227,475,251,116,16,471.00
228,73,533,120,16,163.69
229,265,371,183,2,115.25
230,448,1,26,2,113.49
231,465,845,88,9,227.09
232,469,755,40,11,567.98
233,423,443,52,15,540.78
234,455,541,162,7,375.88
235,407,417,74,10,188.49
236,280,424,78,15,587.03
237,203,381,60,12,174.17
238,30,467,164,5,145.52
239,142,476,187,19,778.35
240,470,550,19,20,705.24
241,432,842,186,6,296.00
242,420,315,172,6,137.25
243,188,878,100,8,116.04
244,73,345,197,8,89.79
245,276,16,49,19,433.97
246,492,582,145,19,260.37
247,192,840,147,4,186.35
248,491,736,139,18,847.49
249,203,636,15,18,969.39
250,378,470,26,19,624.05
251,212,613,87,4,164.73
252,168,57,166,7,333.89
253,480,959,83,17,394.21
254,91,914,137,17,751.67
255,378,812,167,19,884.42
256,298,815,18,19,431.27
257,251,763,152,13,629.61
258,265,167,60,14,672.54
259,320,250,39,3,175.90
260,300,574,28,15,436.77
261,242,734,152,2,78.32
262,5,711,88,19,699.36
263,268,275,4,13,661.21
264,436,396,51,7,213.81
265,249,517,130,6,167.10
266,130,212,165,1,33.59
267,229,745,44,2,84.46
268,253,337,136,16,581.69
269,251,41,5,14,742.69
270,411,563,101,3,70.57
271,260,858,184,3,147.61
272,159,342,86,10,491.78
273,114,83,91,5,99.37
274,377,676,77,13,651.31
275,337,925,162,8,342.81
276,490,808,34,1,17.88
277,319,258,152,11,313.97
278,187,664,155,9,341.09
279,217,612,87,11,555.68
280,220,485,197,3,51.82
281,93,739,160,3,133.65
282,309,264,111,12,283.60
283,498,298,110,1,51.68
284,356,588,158,7,379.82
285,302,878,125,10,341.09
286,490,107,67,1,26.86
287,150,588,16,18,359.34
288,276,383,57,1,33.47
289,350,558,72,13,724.69
290,63,103,92,19,401.61
291,84,370,31,15,868.13
292,180,27,67,19,1012.28
293,384,512,196,6,199.93
294,126,141,111,14,355.78
295,486,806,136,6,345.31
296,465,981,196,20,915.23
297,51,81,30,13,486.54
298,448,217,173,1,24.15
299,302,114,138,16,797.86
300,237,845,21,6,129.41
301,51,931,56,15,312.18
302,400,598,144,7,302.10
303,210,485,29,13,328.58
304,338,710,192,8,259.64
305,278,495,114,20,791.90
306,255,732,132,5,280.11
307,389,461,36,9,208.66
308,418,99,107,12,253.98
309,320,411,112,7,315.48
310,294,732,87,17,410.31
311,80,285,27,3,126.30
312,398,897,6,8,316.27
313,380,332,112,19,976.07
314,424,400,82,4,121.53
315,206,247,42,16,328.83
316,439,986,25,19,605.60
317,233,932,153,19,413.94
318,229,14,62,19,1027.11
319,265,81,34,3,85.95
320,28,671,151,8,411.14
321,66,35,38,18,381.08
322,448,829,105,19,973.55
323,44,523,75,1,42.24
324,423,675,46,19,1003.93
325,315,480,137,14,755.79
326,379,702,71,19,976.75
327,99,533,13,13,596.55
328,457,558,85,18,624.92
329,382,288,145,11,510.79
330,15,643,42,4,229.52
331,254,676,100,16,437.09
332,394,286,77,13,510.05
333,452,428,173,15,564.08
334,282,586,43,3,124.39
335,483,92,106,20,693.89
336,391,702,41,3,172.76
337,366,414,127,14,250.54
338,12,569,119,5,81.91
339,148,678,66,4,75.37
340,96,961,191,6,194.78
